model,seconds,trainingacc,valacc
model0,12.586586713790894,0.8767139205205671,0.851619644723093
model0,13.269503831863403,0.8718336044620033,0.8422152560083594
model0,13.535434007644653,0.8756681385080176,0.857889237199582
model0,12.7846040725708,0.8760311374462647,0.8483263598326359
model0,12.750440835952759,0.8713837574067619,0.8661087866108786
model0,12.99742078781128,0.8738236319275009,0.8734309623430963
model0,13.147126913070679,0.8708028349018241,0.891213389121339
model0,13.314893245697021,0.8730103404205879,0.8608786610878661
model0,13.415536165237427,0.8794004879749041,0.8734309623430963
model0,13.70192289352417,0.8720808644126874,0.8430962343096234
model2,14.837969064712524,0.9475947013711364,0.8557993730407524
model2,14.444741010665894,0.9470137113641646,0.857889237199582
model2,14.247099161148071,0.9445735533348827,0.8537095088819227
model2,13.448179006576538,0.9516672475891716,0.8682008368200836
model2,13.149324178695679,0.9496921110723829,0.8786610878661087
model2,13.859045267105103,0.9453932845358429,0.8807531380753139
model2,12.89633321762085,0.9343557569420239,0.8692468619246861
model2,12.592170000076294,0.9397002439874521,0.8514644351464435
model2,12.570694923400879,0.9506215870802834,0.854602510460251
model2,12.848702430725098,0.9379574764726385,0.850418410041841
model3,16.478559017181396,0.9656053915872647,0.8338557993730408
model3,15.997038841247559,0.9702533116430397,0.8537095088819227
model3,16.66240096092224,0.9731582616778991,0.8495297805642633
model3,18.546998023986816,0.9747879632856977,0.8472803347280334
model3,18.395060062408447,0.983037062855815,0.8451882845188284
model3,16.9128680229187,0.9670036017195306,0.854602510460251
model3,17.324517965316772,0.98280469385384,0.852510460251046
model3,24.839398860931396,0.9776925758103869,0.8514644351464435
model3,17.71388816833496,0.9835018008597654,0.8441422594142259
model3,16.84795594215393,0.984663645869641,0.8389121338912134
model4,13.201744079589844,0.9689751336277016,0.845350052246604
model4,14.675052881240845,0.9579363234952358,0.8547544409613375
model4,13.866814374923706,0.9628166395537997,0.8589341692789969
model4,13.263920068740845,0.95317764610201,0.8619246861924686
model4,13.208668947219849,0.9658417567096549,0.8556485355648535
model4,14.615647315979004,0.9536423841059603,0.8619246861924686
model4,14.467572927474976,0.953990937608923,0.8692468619246861
model4,14.48776912689209,0.9510863250842337,0.8577405857740585
model4,13.133217096328735,0.9579412106425003,0.852510460251046
model4,13.38425087928772,0.9594516091553387,0.8441422594142259
model2_dropout,13.564805269241333,0.8820590285847083,0.8861024033437827
model2_dropout,14.096232891082764,0.8929816407157797,0.8704284221525601
model2_dropout,14.75039792060852,0.8934464327213572,0.8881922675026124
model2_dropout,13.565330982208252,0.8950853956082259,0.8734309623430963
model2_dropout,13.541714906692505,0.8898570930637852,0.8786610878661087
model2_dropout,17.9774911403656,0.8970605321250146,0.8985355648535565
model2_dropout,16.64335584640503,0.8905542000697108,0.8797071129707112
model2_dropout,15.907971143722534,0.8921807830835367,0.8776150627615062
model2_dropout,15.493772029876709,0.8940397350993378,0.8870292887029289
model2_dropout,18.394877910614014,0.8991518531427908,0.8650627615062761
model2_reg,13.994879961013794,0.8599791013584117,0.8685800604229608
model2_reg,14.083679914474487,0.8537095088819227,0.8666046943992564
model2_reg,15.974146127700806,0.8495297805642633,0.8674180804090169
model2_reg,16.35757803916931,0.8451882845188284,0.8694086208899733
model2_reg,16.1219699382782,0.8451882845188284,0.8537237132566515
model2_reg,15.93432092666626,0.8744769874476988,0.8663878238642965
model2_reg,14.958585739135742,0.8598326359832636,0.8575578017892413
model2_reg,15.065750122070312,0.850418410041841,0.8517485767398629
model2_reg,14.792805910110474,0.856694560669456,0.8672011153712095
model2_reg,14.79521894454956,0.856694560669456,0.8699895433949111
