koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_duration,ra,dec,koi_kepmag,koi_score,koi_smass,koi_srad,koi_smet,koi_slogg,koi_steff,koi_tce_plnt_num,koi_model_snr,koi_insol,koi_teq,koi_prad,koi_ror,koi_depth,koi_impact,koi_eccen,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
CANDIDATE,0,0,0,0,56.7769831,181.09789,2455014.098,6.864,287.47763,46.141178,15.273,0.992,1.117,1.012,0.07,4.476,6063.0,2.0,33.6,13.74,491.0,3.21,0.029059,884.3,0.703,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,18.78429232,137.88207,2454970.882,3.1136,295.25116,45.842972,15.561,1.0,0.651,0.641,0.02,4.637,4243.0,1.0,23.8,8.3,433.0,2.14,0.030522,1009.5,0.658,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.61460279,134.69521,2454967.695,3.227,283.19208,41.305389,13.353,0.749,1.173,1.391,0.48,4.221,5711.0,3.0,14.9,776.7,1347.0,1.14,0.007519,64.8,0.516,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,13.15140223,144.16237,2454977.162,5.439,297.78659,47.88612,12.071,0.989,1.287,1.636,0.14,4.12,6154.0,1.0,25.5,243.84,1008.0,1.87,0.010455,97.8,0.872,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,18.5084526,131.54555,2454964.546,6.596,289.84286,38.309601,15.253,0.999,1.028,0.938,-0.06,4.506,5942.0,1.0,30.1,51.32,683.0,29.33,0.286358,758.9,1.258,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,1,1,0,7.47763833,133.40976,2454966.41,2.5693,300.22519,43.758179,11.539,0.0,0.983,1.953,-0.62,3.849,5957.0,1.0,26.2,776.56,1346.0,2.05,0.009635,110.0,0.012,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,42.1918331,155.31211,2454988.312,7.083,288.28052,46.3409,15.06,0.999,0.928,1.08,0.16,4.339,5520.0,1.0,25.7,18.08,526.0,2.35,0.019889,488.7,0.067,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.73090026,132.89428,2454965.894,2.9095,294.18927,45.151581,14.966,0.999,1.014,0.95,0.14,4.489,5709.0,1.0,24.0,383.51,1128.0,1.48,0.014249,191.2,0.822,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,86.130534,200.9117,2455033.912,3.321,294.18927,45.151581,14.966,0.5502,0.97,0.876,-0.14,4.54,5830.0,1.4,3.7,5.55,391.0,1.47,0.015395,285.2,0.072,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,2.787874175,133.90417,2454966.904,2.0348,296.72449,49.532711,14.435,0.998,0.952,1.727,0.56,3.942,4827.0,1.0,22.2,993.06,1432.0,2.33,0.012361,197.4,0.153,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,37.9962369,162.97984,2454995.98,6.7751,291.11188,39.949108,14.247,1.0,0.995,1.191,-0.16,4.284,6038.0,3.0,37.8,34.55,618.0,2.39,0.018389,403.7,0.023,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,8.46354384,134.35341,2454967.353,1.4078,297.52542,49.401451,15.338,1.0,0.896,0.887,0.07,4.495,5427.0,1.0,26.1,99.37,805.0,2.51,0.025894,792.2,0.387,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,17.23232894,135.0922,2454968.092,4.5568,296.99863,42.78196,14.061,1.0,1.013,1.216,-0.16,4.274,6086.0,1.0,64.1,105.47,817.0,2.79,0.020998,509.8,0.395,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,28.5057217,132.92075,2454965.921,6.324,292.23242,38.89222,15.778,1.0,0.944,0.87,-0.1,4.534,5712.0,1.0,20.8,22.43,555.0,2.55,0.026795,755.8,0.695,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,53.5991459,147.43015,2454980.43,6.811,291.28207,46.965988,14.953,0.971,1.084,1.032,-0.22,4.447,6319.0,1.0,23.1,18.54,529.0,2.49,0.022119,523.1,0.658,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,16.4581861,134.01969,2454967.02,1.9637,294.52545,49.872471,14.64,1.0,0.946,0.884,0.14,4.521,5475.0,1.0,22.4,40.61,644.0,1.82,0.018826,435.8,0.108,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,191.86419296,294.47036,2455127.47,4.9,287.24118,39.33276,12.57,0.4808294015396076,1.0237061189001195,1.7287115530920552,-0.12443124863804753,4.310156613411586,5706.8232800782525,1.24365372098069,259.8950005434192,7745.737022611707,1085.3858276274318,102.89177806760135,0.28364628616454735,23791.335898271922,0.7351054776654712,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,13.72549689,145.03352,2454978.034,7.62,287.24118,39.33276,12.57,0.4808294015396076,1.0237061189001195,1.7287115530920552,-0.12443124863804753,4.310156613411586,5706.8232800782525,1.24365372098069,259.8950005434192,7745.737022611707,1085.3858276274318,102.89177806760135,0.28364628616454735,23791.335898271922,0.7351054776654712,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,176.331289,170.8589,2455003.859,13.89,297.28317,46.90453,12.982,0.586,1.166,2.251,-0.42,3.8,6146.0,1.2,8.4,15.4,505.0,2.38,0.009675,109.8,0.2455,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,0.693842661,132.18157,2454965.182,1.6197,294.97882,46.00565,12.953,0.997,0.903,1.196,0.14,4.239,5457.0,1.0,28.9,5182.78,2161.0,0.83,0.00636,49.3,0.195,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,83.4887405,188.53792,2455021.538,6.21,293.23022,48.281368,15.375,0.526,1.032,0.94,-0.02,4.505,5910.0,1.0,24.7,6.76,411.0,2.95,0.028709,955.4,0.42,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,34.0607677,141.35928,2454974.359,2.471,293.23022,48.281368,15.375,1.0,1.032,0.94,-0.02,4.505,5910.0,2.0,20.5,22.32,554.0,2.96,0.028882,818.9,0.786,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.2141496,132.25182,2454965.252,10.141,291.72916,38.070019,13.439,0.881,1.501,3.152,0.02,3.617,5295.0,1.0,53.4,1216.48,1506.0,4.27,0.0124,183.4,0.403,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,31.5888979,155.61538,2454988.615,3.438,294.56693,46.075802,14.143,0.997,1.02,1.367,0.0,4.175,5866.0,1.0,27.3,51.02,682.0,2.59,0.01735,360.6,0.194,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,59.9809868,176.14903,2455009.149,7.588,281.56995,47.398689,13.66,0.859,1.109,1.383,0.02,4.202,6103.0,1.0,25.2,24.58,568.0,2.81,0.018577,282.4,0.918,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,25.7457957,135.94806,2454968.948,7.073,281.56995,47.398689,13.66,0.995,1.109,1.383,0.02,4.202,6103.0,2.0,19.3,75.97,753.0,1.73,0.011447,140.3,0.661,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,11.92979348,136.66919,2454969.669,6.152,288.30869,51.478291,15.844,1.0,1.016,0.921,0.0,4.517,5831.0,1.0,27.8,83.04,770.0,2.43,0.0242,709.3,0.003,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,17.65737838,136.585509,2454969.586,3.509,284.35202,41.519199,14.267,0.21800000000000003,0.49,0.47,-0.02,4.784,3745.0,1.0,117.2,3.55,350.0,2.45,0.047823,2155.7,0.8277,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,4.3394569,132.80309,2454965.803,2.3652,294.51767,50.670399,14.822,1.0,0.869,1.013,0.18,4.366,5330.0,1.0,31.6,300.07,1061.0,2.11,0.019041,337.4,0.821,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,2.852348262,132.044534,2454965.045,0.7051,286.59427,37.891258,15.959,1.0,0.463,0.433,-0.28,4.83,3731.0,1.0,33.3,34.95,621.0,1.66,0.035061,1402.9,0.295,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,65.6480892,173.30166,2455006.302,5.746,292.2478,47.878448,14.872,0.485,1.008,1.246,0.32,4.251,5565.0,1.0,22.0,13.04,485.0,3.93,0.028896,588.7,0.949,0.0,0.0,1.0,0.0
FALSE POSITIVE,1,0,0,0,102.653705,222.9895,2455055.99,53.5887,293.41794,48.198849,12.678,0.0,1.32,1.698,-0.24,4.097,6711.0,1.0,82.1,23.66,562.0,39.16,0.211178,687.3,1.184,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,14.83340944,135.44213,2454968.442,3.927,293.98358,39.57288,15.707,1.0,0.882,0.904,-0.08,4.471,5570.0,1.0,19.1,54.74,694.0,2.54,0.025764,783.0,0.399,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,0,1,0,0.987338654,131.88155,2454964.882,2.591,300.77875,45.110222,11.511,0.001,1.14,1.896,-0.3,3.939,6258.0,1.0,25.0,11973.87,2669.0,0.98,0.004734,26.5,0.002,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,101.1323475,210.18316,2455043.183,4.366,291.81302,38.088181,15.331,1.0,0.921,1.016,0.16,4.389,5492.0,1.0,25.7,4.91,380.0,3.87,0.034853,1502.9,0.057,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,0,1,1,1.811460943,132.93207,2454965.932,5.065,295.47537,45.239979,14.674,0.0,0.894,1.008,-0.12,4.382,5700.0,1.0,83.9,1224.37,1508.0,2.83,0.025677,428.5,0.971,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,16.07673148,143.39091,2454976.391,2.205,288.47964,47.101768,15.306,1.0,1.083,0.971,0.07,4.498,5957.0,1.0,19.3,64.75,724.0,2.14,0.020172,488.0,0.108,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,18.87058705,143.95639,2454976.956,3.4701,286.892,38.31855,14.562,1.0,1.028,0.949,-0.2,4.496,6103.0,1.0,28.5,56.97,701.0,2.67,0.025771,588.0,0.878,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,22.1334224,152.18405,2454985.184,2.049,297.28549,41.305592,15.571,0.994,0.782,0.702,-0.32,4.633,5165.0,1.0,16.3,15.65,507.0,1.76,0.022996,654.6,0.025,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,17.1369408,141.01497,2454974.015,6.416,283.10385,43.148041,15.004,1.0,1.114,1.077,-0.04,4.421,6218.0,1.0,25.4,85.15,775.0,2.05,0.017456,362.1,0.03,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,26.6951944,143.9999,2454977.0,4.576,296.99863,42.78196,14.061,0.993,1.013,1.216,-0.16,4.274,6086.0,3.0,13.4,58.81,706.0,1.4,0.010567,132.6,0.136,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.72085047,136.563,2454969.563,1.8264,284.49033,42.648289,13.516,1.0,0.985,1.177,-0.06,4.29,5887.0,1.0,25.0,257.14,1021.0,2.53,0.019674,267.0,0.963,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,6.312508525,132.654418,2454965.654,2.7455,287.89163,39.33913,14.735,1.0,0.591,0.571,-0.18,4.696,4090.0,1.0,112.5,25.94,575.0,2.0,0.032005,1286.0,0.029,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.19577385,135.17605,2454968.176,2.1557,294.84003,39.085991,15.168,1.0,0.878,1.005,0.32,4.378,5229.0,1.0,23.3,283.78,1047.0,3.02,0.027507,874.2,0.521,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,7.1329472,135.99259,2454968.993,4.368,288.96124,42.265011,13.959,0.983,0.973,1.307,-0.1,4.194,5862.0,2.0,27.2,349.21,1102.0,1.64,0.011502,145.0,0.612,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,8.91901228,140.0777,2454973.078,4.141,288.96124,42.265011,13.959,0.972,0.973,1.307,-0.1,4.194,5862.0,1.0,29.6,258.92,1023.0,1.84,0.012857,180.6,0.619,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.5620407,132.64295,2454965.643,2.8521,297.65143,40.352551,13.052,0.944,1.33,2.506,0.08,3.764,5343.0,1.0,22.8,1306.97,1533.0,2.82,0.010314,81.6,0.925,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,7.5966998,131.95296,2454964.953,3.667,285.13831,45.004539,13.482,0.898,0.955,1.091,0.04,4.343,5716.0,2.0,24.5,204.34,964.0,1.32,0.011117,127.5,0.725,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,0,1,0,2.392630668,133.7861,2454966.786,1.3705,285.13831,45.004539,13.482,0.0,0.955,1.091,0.04,4.343,5716.0,1.0,20.5,955.41,1418.0,1.33,0.011196,101.5,0.909,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,17.6700291,131.60103,2454964.601,6.693,295.48123,40.731979,14.874,1.0,1.042,1.247,0.16,4.265,5795.0,1.0,25.0,86.37,778.0,2.89,0.021247,348.4,0.932,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,15.40877383,139.4831786,2454972.483,3.49,295.48123,40.731979,14.874,0.4808294015396076,1.0237061189001195,1.7287115530920552,-0.12443124863804753,4.310156613411586,5706.8232800782525,1.24365372098069,259.8950005434192,7745.737022611707,1085.3858276274318,102.89177806760135,0.28364628616454735,23791.335898271922,0.7351054776654712,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,108.593113,173.75198,2455006.752,7.989,285.69199,45.689388,14.033,1.0,0.794,0.921,-0.4,4.409,5678.0,1.0,24.3,4.64,374.0,1.68,0.016727,338.2,0.007,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,19.9865916,135.52265,2454968.523,4.391,288.61792,48.098412,15.699,1.0,0.922,1.238,0.14,4.218,5500.0,1.0,21.8,63.67,720.0,4.22,0.031224,648.0,0.962,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,12.12580644,142.10763,2454975.108,3.289,288.61792,48.098412,15.699,0.959,0.922,1.238,0.14,4.218,5500.0,2.0,14.0,123.78,851.0,2.5,0.018511,327.5,0.805,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,76.421501,164.4879,2454997.488,7.218,289.97934,40.14283,15.165,0.994,0.946,1.19,0.16,4.263,5561.0,1.0,23.9,10.11,455.0,2.81,0.021656,578.4,0.015,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,56.2590881,164.21993,2454997.22,8.114,291.11188,39.949108,14.247,1.0,0.995,1.191,-0.16,4.284,6038.0,5.0,29.7,20.49,543.0,2.22,0.017091,348.8,0.026,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,1.646801683,132.0615,2454965.061,1.1966,290.43402,44.107651,14.634,0.997,0.543,0.513,-0.02,4.753,3810.0,1.0,25.2,99.8,806.0,0.86,0.01543,284.2,0.129,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.78861833,134.61419,2454967.614,2.808,298.42633,47.946781,14.285,0.996,0.943,1.04,0.16,4.379,5560.0,1.0,18.2,424.17,1158.0,1.23,0.010833,143.4,0.183,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,10.45839865,137.65416,2454970.654,3.154,284.99963,49.47998,14.471,1.0,0.734,0.747,0.16,4.557,4641.0,1.0,18.6,32.45,609.0,1.25,0.015375,306.8,0.009,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,21.1033014,144.66035,2454977.66,2.059,283.75482,45.335178,13.355,0.998,1.068,1.126,0.06,4.363,6000.0,1.0,21.3,62.99,718.0,1.56,0.012695,192.5,0.125,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,95.6114617,138.35664,2454971.357,7.489,296.70724,41.203651,14.71,0.99,1.135,1.081,0.2,4.424,6002.0,1.0,21.6,7.45,421.0,2.37,0.020097,487.4,0.046,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,58.35512552,179.39795,2455012.398,8.45,286.07202,45.136711,15.484,0.4808294015396076,1.0237061189001195,1.7287115530920552,-0.12443124863804753,4.310156613411586,5706.8232800782525,1.24365372098069,259.8950005434192,7745.737022611707,1085.3858276274318,102.89177806760135,0.28364628616454735,23791.335898271922,0.7351054776654712,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,1.204686597,131.90556,2454964.906,0.823,289.67786,43.458134,11.671,1.0,1.0,1.0,0.0,4.438,5780.0,1.0,10.8,2026.81,1711.0,1.55,0.014218,233.2,0.328,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,11.8984948,133.34685,2454966.347,3.015,288.96124,42.265011,13.959,0.951,0.973,1.307,-0.1,4.194,5862.0,3.0,15.9,176.27,929.0,1.69,0.011851,130.9,0.836,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,23.1274171,145.66194,2454978.662,4.901,281.56146,42.4505,11.863,0.997,1.024,1.066,0.07,4.393,5865.0,1.0,20.9,46.89,667.0,1.44,0.012395,157.3,0.737,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,5.132486123,132.15985,2454965.16,1.4575,291.09274,49.19006,15.535,1.0,0.619,0.578,0.32,4.707,3879.0,1.0,35.4,27.41,584.0,1.69,0.026773,908.4,0.217,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,8.77997349,138.48383,2454971.484,3.2201,291.91287,40.953892,15.789,1.0,0.85,0.764,-0.06,4.597,5191.0,1.0,32.7,61.24,713.0,2.12,0.025421,755.7,0.481,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,57.6896212,139.92753,2454972.928,5.118,293.29364,42.19635,15.886,0.981,1.107,1.049,-0.08,4.441,6228.0,1.0,30.2,16.19,512.0,5.14,0.044886,1626.6,0.924,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,10.66489514,132.00872,2454965.009,3.159,295.62659,49.130428,14.651,0.995,1.037,1.021,-0.04,4.436,6014.0,1.0,25.3,132.15,865.0,1.76,0.015773,292.6,0.308,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,5.1233204,132.08472,2454965.085,2.7466,293.21738,42.720711,15.162,1.0,0.872,0.982,0.14,4.394,5364.0,1.0,25.1,231.12,994.0,1.65,0.015347,286.2,0.308,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.573202801,134.934397,2454967.934,2.88,290.76587,38.927959,14.72,1.0,0.996,1.08,0.22,4.37,5646.0,1.0,362.1,507.91,1210.0,5.81,0.049237,2975.0,0.053,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,61.6174528,179.08282,2455012.083,3.816,293.06335,39.40345,15.722,0.997,0.966,0.931,0.24,4.485,5480.0,1.0,19.5,7.67,424.0,3.36,0.033006,1350.7,0.091,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,24.3398202,136.05813,2454969.058,3.891,291.60449,41.309361,15.28,1.0,0.998,1.466,0.14,4.105,5596.0,1.0,27.8,69.79,737.0,5.09,0.031817,777.3,0.928,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.16520428,132.96921,2454965.969,1.705,298.08453,40.283249,15.302,0.984,1.162,1.103,0.1,4.417,6174.0,1.0,17.6,270.34,1034.0,2.31,0.019138,433.8,0.142,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,1.755843555,133.15509,2454966.155,1.9425,289.14722,45.86618,15.758,0.999,0.928,0.829,-0.08,4.566,5569.0,1.0,25.1,771.02,1343.0,1.94,0.021444,386.0,0.893,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,5.18560081,132.32455,2454965.325,4.054,297.47711,39.877239,14.806,1.0,1.25,1.471,0.16,4.198,6172.0,1.0,27.6,705.79,1314.0,2.34,0.014547,252.6,0.012,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,33.4698571,140.14977,2454973.15,4.749,288.82059,39.52282,14.74,1.0,0.96,1.094,-0.14,4.342,5912.0,1.0,23.2,32.52,609.0,2.45,0.020478,370.7,0.876,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,11.89520436,132.8908,2454965.891,3.433,288.92401,46.057629,14.152,1.0,0.923,0.992,0.0,4.411,5649.0,1.0,22.3,90.77,787.0,1.33,0.012286,184.3,0.067,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,1.025857984,131.655621,2454964.656,0.8069,292.51398,42.65176,14.413,1.0,0.828,0.847,0.14,4.501,5123.0,1.0,36.0,1264.7,1520.0,1.57,0.016977,270.7,0.779,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,5.60013327,135.96495,2454968.965,2.6508,291.65778,48.009312,15.378,1.0,0.858,0.978,0.18,4.391,5288.0,1.0,22.8,194.26,952.0,1.73,0.01622,329.2,0.046,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,25.2034128,137.56393,2454970.564,4.515,282.14056,43.89658,15.684,0.407,1.016,0.921,0.0,4.517,5831.0,1.0,22.3,30.62,600.0,2.42,0.024063,697.1,0.168,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,1.615357809,132.7846,2454965.785,1.1435,292.76993,48.89962,15.655,0.949,0.49,0.486,-0.28,4.755,3821.0,1.0,31.2,99.32,806.0,1.37,0.025766,499.6,0.931,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,5.640676975,138.556259,2454971.556,2.8354,297.20154,41.730209,14.762,1.0,1.032,1.216,0.14,4.282,5794.0,1.0,145.9,379.36,1125.0,4.59,0.034594,1453.3,0.033,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,25.5638626,375.27811,2455208.278,4.685,293.29364,42.19635,15.886,1.0,1.107,1.049,-0.08,4.441,6228.0,2.0,31.6,47.94,671.0,4.0,0.034909,1124.9,0.85,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.78341325,136.10468,2454969.105,3.5437,292.95416,41.934799,15.357,0.999,0.763,8.769,-1.52,2.435,5096.0,1.0,35.3,11295.61,2628.0,20.75,0.021665,501.2,0.665,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,12.7945474,130.7668,2454963.767,3.4197,287.89163,39.33913,14.735,1.0,0.591,0.571,-0.18,4.696,4090.0,2.0,54.1,10.1,455.0,1.6,0.025596,816.7,0.18,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,42.4269647,156.17194,2454989.172,5.907,295.66287,44.525841,15.001,0.974,0.869,1.013,0.18,4.366,5330.0,1.0,26.0,14.33,496.0,3.44,0.031124,632.4,0.962,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,1.434745129,132.62802,2454965.628,1.862,299.78546,43.67075,14.691,0.998,1.037,1.064,0.16,4.4,5806.0,1.0,28.4,1813.0,1664.0,1.5,0.012886,200.7,0.108,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.95787,359.007,2455192.007,4.537,291.60449,41.309361,15.28,0.7642,0.975,1.025,-0.38,4.406,6240.0,1.4,1.8,284.4,1047.0,1.39,0.012454,182.3,0.1686,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,3.28192056,132.42485,2454965.425,2.917,296.85205,49.084438,14.842,0.993,1.064,1.162,0.16,4.335,5859.0,1.0,24.5,728.9,1326.0,1.6,0.012619,191.0,0.223,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,12.51610549,135.03333,2454968.033,4.853,296.85205,49.084438,14.842,1.0,1.064,1.162,0.16,4.335,5859.0,2.0,22.6,122.54,848.0,1.87,0.014724,263.0,0.023,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,5.45298742,134.15183,2454967.152,2.1328,285.20749,45.38435,12.404,0.897,0.944,0.842,0.1,4.563,5450.0,1.0,21.0,158.12,904.0,0.92,0.010028,86.0,0.879,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.26662733,136.08452,2454969.085,2.056,285.20749,45.38435,12.404,0.961,0.944,0.842,0.1,4.563,5450.0,2.0,18.6,312.85,1072.0,0.68,0.007398,59.9,0.623,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,4.45743267,132.16006,2454965.16,2.3226,283.12103,43.525639,14.374,1.0,0.601,0.612,-0.44,4.644,4487.0,1.0,20.8,67.7,732.0,0.79,0.011751,175.7,0.175,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,2.81814715,132.25336,2454965.253,1.763,292.23993,48.51157,15.498,0.895,0.812,0.787,-0.04,4.555,5167.0,1.0,16.5,298.2,1059.0,1.3,0.015134,278.6,0.305,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,9.4907638,131.50396,2454964.504,2.713,292.23993,48.51157,15.498,0.4312,0.821,0.746,-0.22,4.604,5290.0,1.0,7.3,58.01,704.0,1.05,0.012848,197.4,0.3638,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,0.76196247,132.78371,2454965.784,1.282,292.23993,48.51157,15.498,0.99,0.812,0.787,-0.04,4.555,5167.0,2.0,18.3,1710.11,1638.0,1.08,0.012566,190.2,0.322,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,1,1,1,1.824649,147.482662,2454980.483,4.2285,295.24182,40.155209,14.605,0.0,0.704,0.793,-1.94,4.487,6190.0,1.0,184.3,1222.28,1508.0,5.31,0.061323,3218.5,0.901,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,2.832647249,131.82642,2454964.826,2.306,288.14478,51.27562,13.467,0.989,1.088,1.272,0.16,4.266,5865.0,1.0,27.5,1054.98,1453.0,1.37,0.009889,114.7,0.374,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.70063251,133.16065,2454966.161,5.408,292.25247,40.792721,13.024,0.994,0.915,1.404,0.08,4.105,5423.0,1.0,29.8,737.02,1329.0,1.24,0.008108,68.6,0.71,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,3.93083997,135.19393,2454968.194,2.932,282.39462,48.75914,13.652,0.97,0.995,1.191,-0.16,4.284,6038.0,1.0,22.0,711.45,1317.0,1.2,0.009264,101.4,0.222,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.63008196,137.07948,2454970.079,2.78,282.39462,48.75914,13.652,0.995,0.995,1.191,-0.16,4.284,6038.0,2.0,18.6,293.67,1056.0,1.39,0.010695,124.0,0.628,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,16.22378479,136.02454,2454969.025,2.5462,291.69955,38.145271,14.129,0.993,0.9,0.925,0.0,4.46,5547.0,1.0,20.6,49.35,676.0,1.51,0.014927,262.3,0.413,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,9.76293284,139.15802,2454972.158,3.064,300.61969,45.788921,15.246,0.991,0.773,0.816,0.02,4.503,5052.0,1.0,23.6,57.59,703.0,1.94,0.021757,553.2,0.499,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,58.601926,137.66825,2454970.668,5.522,297.72314,47.112659,14.649,0.919,1.038,1.019,-0.22,4.44,6250.0,1.0,19.1,15.8,508.0,2.06,0.018557,396.4,0.392,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,25.0823402,134.13568,2454967.136,6.423,284.978,41.420158,13.838,0.816,1.011,1.262,-0.46,4.241,6429.0,1.0,30.5,85.76,776.0,2.26,0.01637,244.6,0.865,0.0,0.0,1.0,0.0
