koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_duration,ra,dec,koi_kepmag,koi_score,koi_smass,koi_srad,koi_smet,koi_slogg,koi_steff,koi_tce_plnt_num,koi_model_snr,koi_insol,koi_teq,koi_prad,koi_ror,koi_depth,koi_impact,koi_eccen,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
CANDIDATE,0,0,0,0,8.10904807,132.8031,2454965.803,3.596,292.37613,47.880989,15.416,0.971,0.831,0.91,0.16,4.44,5185.0,3.0,14.1,97.03,800.0,1.3,0.013127,217.4,0.025,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,2454999.342,6.8057,292.27374,37.671558,12.394,0.2,1.103,1.58,0.44,4.081,5543.0,1.0,994.0,1.84,297.0,41.5,0.240528,24927.0,0.9765,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,21.67699193,171.53594,2455004.536,3.4555,290.46512,47.92918,15.377,1.0,0.791,0.828,0.18,4.5,4954.0,1.0,34.3,18.64,530.0,2.95,0.032666,857.2,0.896,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.99677968,171.74208,2455004.742,2.1717,297.80826,47.946671,15.861,1.0,0.931,0.847,0.18,4.552,5339.0,1.0,28.2,166.95,917.0,2.78,0.030014,934.7,0.71,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.280963604,171.89659,2455004.897,2.875,294.26581,49.314091,15.356,1.0,0.928,0.831,-0.14,4.564,5644.0,1.0,61.8,247.87,1012.0,2.3,0.025377,750.8,0.424,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,2455003.998,1.5155,295.66522,49.351009,15.525,0.0,0.926,0.831,-0.2,4.563,5714.0,1.0,181.1,1054.12,1452.0,4.53,0.049899,2211.7,0.86,0.0,0.0,0.0,1.0
FALSE POSITIVE,0,1,1,0,670.645531,209.04355,2455042.044,53.412,296.69861,49.316479,15.207,0.0,1.03,0.983,0.48,4.466,5520.0,1.0,642.7,0.35,196.0,14.14,0.131705,18091.0,0.701,0.0,0.0,0.0,1.0
FALSE POSITIVE,0,1,0,0,61.2563628,173.83826,2455006.838,7.633,283.72592,49.479519,15.25,0.0,1.093,1.091,0.0,4.402,6144.0,1.0,85.3,15.43,505.0,39.87,0.334628,5123.3,1.248,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,38.3775486,172.82048,2455005.82,5.588,291.72202,49.480869,15.172,1.0,0.915,1.036,0.16,4.369,5481.0,1.0,34.7,18.53,529.0,2.82,0.024901,724.2,0.468,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,41.19725502,165.00404,2454998.004,4.6297,286.99948,48.37579,15.841,0.992,0.801,0.848,0.16,4.485,5031.0,2.0,51.2,8.76,439.0,3.86,0.041693,2213.9,0.045,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.252962249,171.30126,2455004.301,2.5819,286.99948,48.37579,15.841,1.0,0.801,0.848,0.16,4.485,5031.0,3.0,47.1,108.3,823.0,2.65,0.028604,1036.9,0.105,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,16.01308419,176.3608,2455009.361,3.2554,297.02563,48.478588,15.39,1.0,0.785,0.826,0.1,4.499,5015.0,1.0,33.2,29.31,593.0,3.1,0.034369,1121.9,0.799,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,32.62876672,194.1019,2455027.102,4.7971,285.71854,48.505859,15.082,1.0,0.844,0.798,-0.3,4.56,5586.0,1.0,80.0,15.55,506.0,3.36,0.03852,1804.8,0.021,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,91.7732862,193.8378,2455026.838,6.473,285.71854,48.505859,15.082,0.978,0.844,0.798,-0.3,4.56,5586.0,2.0,19.1,3.92,359.0,2.12,0.02432,652.0,0.606,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.959319244,172.2585292,2455005.259,2.22739,292.16705,48.727589,15.263,1.0,0.976,1.082,0.1,4.359,5712.0,1.0,696.5,349.4,1103.0,12.21,0.103379,9802.0,0.831,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,1,1,0,2.701287801,170.69579,2455003.696,3.3827,297.92365,48.777321,15.54,0.0,0.889,0.91,-0.04,4.468,5550.0,1.0,48.3,527.81,1222.0,6.54,0.06584,860.4,1.016,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,4.49876511,171.34905,2455004.349,3.7362,298.45685,48.791592,15.395,1.0,1.048,0.969,-0.12,4.486,6075.0,1.0,29.5,389.62,1133.0,2.1,0.019817,460.0,0.312,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,19.651209505,179.401981,2455012.402,5.2514,291.0939,48.933842,15.536,0.0,1.014,1.063,-0.12,4.391,6074.0,1.0,513.4,67.03,730.0,12.42,0.106953,11766.0,0.723,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,5.412203927,133.143089,2454966.143,2.9472,287.88733,46.276241,12.791,1.0,0.941,1.087,-0.06,4.339,5779.0,1.0,166.7,337.68,1093.0,2.94,0.024775,601.6,0.787,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,41.43958662,208.93203,2455041.932,10.5989,295.55505,49.017342,15.4,0.998,0.93,1.046,0.22,4.367,5468.0,1.0,141.1,16.72,516.0,5.5,0.048175,2793.1,0.355,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,8.35389523,171.63257,2455004.633,2.2514,285.49924,49.277351,15.317,1.0,0.862,0.787,-0.28,4.582,5592.0,1.0,43.4,91.9,790.0,2.52,0.029305,1041.6,0.023,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.125543472,169.752585,2455002.753,3.1744,291.93616,49.253979,15.506,1.0,1.162,1.103,0.1,4.417,6174.0,1.0,128.6,565.35,1243.0,4.43,0.036796,1487.3,0.597,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,2.816504904,170.9676846,2455003.968,2.50587,297.01547,49.225288,15.052,1.0,0.941,0.955,0.14,4.452,5532.0,1.0,1406.8,521.13,1219.0,12.21,0.117059,16814.0,0.105,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,2455019.676,14.561,284.17233,49.360722,15.716,0.0,0.782,0.705,-0.24,4.628,5040.0,1.0,236.1,8.11,430.0,7.34,0.095386,8503.7,0.812,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,3.689920099,170.36571,2455003.366,2.6557,291.62241,50.61824,15.242,1.0,1.01,0.917,-0.06,4.518,5880.0,1.0,35.6,408.99,1147.0,1.89,0.018878,426.7,0.151,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.431238488,171.015,2455004.015,3.15,295.81616,51.121738,15.367,1.0,1.007,1.015,0.16,4.428,5714.0,1.0,71.1,351.23,1104.0,3.25,0.02933,1010.9,0.405,0.0,0.0,1.0,0.0
